"110年04月 4540 全球傳動         各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/04/01","1,504,544","91,651,814","60.40","62.00","60.20","60.20","+1.40","1,090",
"110/04/06","1,068,431","65,607,182","60.60","62.10","60.60","61.90","+1.70","715",
"110/04/07","628,824","38,573,847","62.60","62.60","60.70","61.40","-0.50","425",
"110/04/08","1,072,220","66,498,640","61.40","62.90","61.20","61.50","+0.10","735",
"110/04/09","1,272,855","79,023,764","62.00","62.90","61.50","62.20","+0.70","766",
"110/04/12","2,592,321","165,316,599","63.10","64.80","62.60","64.00","+1.80","1,774",
"110/04/13","3,985,037","258,896,180","64.50","66.90","62.00","62.50","-1.50","2,511",
"110/04/14","5,526,793","362,207,135","63.10","68.30","62.10","68.00","+5.50","3,711",
"110/04/15","6,600,444","463,354,681","68.10","73.30","66.00","68.60","+0.60","4,684",
"110/04/16","2,172,152","148,928,479","69.20","70.90","67.20","68.20","-0.40","1,542",
"110/04/19","1,770,342","118,582,422","69.10","69.20","66.10","66.30","-1.90","1,115",
"110/04/20","1,222,324","80,339,662","66.50","66.50","65.00","65.60","-0.70","770",
"110/04/21","1,218,777","78,650,068","65.60","66.00","63.80","64.00","-1.60","798",
"110/04/22","1,583,733","99,187,878","64.60","64.70","60.60","61.00","-3.00","1,046",
"110/04/23","811,192","50,342,485","61.00","63.50","60.20","62.10","+1.10","592",
"110/04/26","662,481","41,277,905","62.90","63.00","61.80","62.10"," 0.00","469",
"110/04/27","490,002","30,263,191","62.30","62.60","61.00","61.50","-0.60","376",
"110/04/28","702,000","43,240,300","61.90","62.80","61.00","61.50"," 0.00","462",
"110/04/29","902,080","54,793,659","62.20","62.20","60.30","60.70","-0.80","609",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

